doc	page	section	body
2026년도 교육공무직원 등 종합관리계획	1	교육공무직원 등 종합관리계획	2026년도\n교육공무직원 등 종합관리계획\n\n\n           2026. 1.\n\n\n         (정책국 노사정책과)
2026년도 교육공무직원 등 종합관리계획	2	차례	차        례\n\n      ·\nⅠ. 개요 ··\n       ··\n        ··\n         ··\n          ··\n           ··\n            ··\n             ··\n              ··\n               ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     · 1\n\nⅡ. 세부 운영계획\n\n □\n 1 인사관리\n\n           ·\n 1-1. 정원관리 ··\n            ··\n             ··\n              ··\n               ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ·· 3\n\n         ·\n 1-2. 전보 ··\n          ··\n           ··\n            ··\n             ··\n              ··\n               ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  ··\n                                                   ·· 5\n\n         ·\n 1-3. 휴직 ··\n          ··\n           ··\n            ··\n             ··\n              ··\n               ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  ··\n                                                   ·· 7\n\n         ·\n 1-4. 평가 ··\n          ··\n           ··\n            ··\n             ··\n              ··\n               ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  · 10\n\n           ·\n 1-5. 직종전환 ··\n            ··\n             ··\n              ··\n               ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ·· 13\n\n         ·\n 1-6. 징계 ··\n          ··\n           ··\n            ··\n             ··\n              ··\n               ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  · 14\n\n              ·\n 1-7. 근로관계 종료 ··\n               ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               · 15\n\n                  ·\n 1-8. 나이스 인사기록 정비 ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             · 17\n\n                    ·\n 1-9. 비정규직 채용 사전심사제 ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           · 18\n\n                             ·\n 1-10. 기타(겸업, 신분증, 표창, 교육훈련) ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ·· 19\n\n □\n 2 채용 및 근로계약\n\n                 ·\n 2-1. 무기계약근로자 채용 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ·· 23\n\n                      ·\n 2-2. 기간제근로자(대체인력) 채용 ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ·· 25\n                         ·\n 2-3. (대체인력이아닌)기간제근로자 채용 ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         · 27\n\n           ·\n 2-4. 근로계약 ··\n            ··\n             ··\n              ··\n               ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ·· 29
2026년도 교육공무직원 등 종합관리계획	3	차례	□\n3 복무\n\n               ·\n     3-1. 근로시간 ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  ··\n                                                   ··\n                                                    ·· 30\n                   ·\n     3-2. 출장․연수․교육 ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  ··\n                                                   ··\n                                                    ·· 32\n             ·\n     3-3. 휴일 ··\n              ··\n               ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  ··\n                                                   ··\n                                                    ··\n                                                     ··\n                                                      · 34\n             ·\n     3-4. 휴가 ··\n              ··\n               ··\n                ··\n                 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  ··\n                                                   ··\n                                                    ··\n                                                     ··\n                                                      · 36\n                 ·\n     3-5. 모성보호제도 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  ··\n                                                   · 41\n\n    □\n    4 임금\n\n                     ·\n     4-1. 보수체계(지급기준) ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  ·· 43\n                     ·\n     4-2. 4대 사회보험 관리 ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  ·· 45\n                 ·\n     4-3. 퇴직급여제도 ··\n                  ··\n                   ··\n                    ··\n                     ··\n                      ··\n                       ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 ··\n                                                  ··\n                                                   · 48\n                       ·\n     4-4. 월별 급여 확인사항 등 ··\n                        ··\n                         ··\n                          ··\n                           ··\n                            ··\n                             ··\n                              ··\n                               ··\n                                ··\n                                 ··\n                                  ··\n                                   ··\n                                    ··\n                                     ··\n                                      ··\n                                       ··\n                                        ··\n                                         ··\n                                          ··\n                                           ··\n                                            ··\n                                             ··\n                                              ··\n                                               ··\n                                                ··\n                                                 · 50\n\n◈ 별도 붙임(p53∼p170)\n\n▪ (서식1~3) 표준근로계약서(상시근로자,방중비근무자,단시간근로자) ·························                                                                     53\n\n▪ (서식4~6) 표준근로계약서(대체인력(30일이상)-상시근로자,방중비근무자,단시간근로자) 62\n\n▪ (서식7) 표준근로계약서(대체인력(30일미만)-일용근로자) ·············································                                                     71\n\n▪ (서식8) 휴직원 ······················································································································   74\n\n▪ (서식9) 휴직 서약서 ············································································································          75\n\n▪ (서식10) 복직원 ····················································································································    76\n\n▪ (서식11) 사직원 ····················································································································    77\n\n▪ (서식12) 육아기 근로시간 단축 신청서 ··········································································                                  78\n\n▪ (서식13) 휴직연장원 ············································································································          79\n\n▪ (서식14) 겸업허가 신청서 ··································································································                 80\n\n▪ (참고1) 세종특별자치시교육청 교육공무직원 취업규칙 ··············································                                                        81\n\n▪ (참고2) 세종특별자치시교육청 특수운영직군 종사자 취업규칙 ································ 110\n\n▪ (참고3) 세종특별자치시교육청-전국학교비정규직노동조합 2025년 단체협약 ········ 134
2026년도 교육공무직원 등 종합관리계획	1	Ⅰ 개 요	2026년도 교육공무직원 등 종합관리계획\n\n교육공무직원 인사운영의 기본방향, 기준 및 시기 등을 포함한 종합관리계획을 미리\n안내하여 인사관리의 공정성을 확보하고 합리적인 인사운영을 도모하고자 함\n\nⅠ   개    요\n□ 추진근거\n◦ 「세종특별자치시교육감 소속 교육공무직원의 채용 및 관리 조례」 제 조            4\n\n\n 제4조(관리계획 수립) ① 교육감은 교육공무직원의 안정적인 근로여건 조성과 효율적인 관리를 위\n  하여 매년 각급 교육기관의 교육공무직원의 직종별 정원, 배치기준, 임금 등 근로조건에 대한 종\n  합적인 관리계획을 수립·시행하여야 한다.\n  ② 총괄부서에서는 제1항의 관리계획의 수립·시행에 관한 업무를 총괄한다.\n  ③ 사업부서에서는 제1항의 관리계획에 따라 담당 사업과 관련된 교육공무직원의 정원, 배치기준\n  에 대한 계획을 수립하고 사업 실정에 맞는 구체적인 업무분장, 임금지급 등에 대한 운영계획을\n  수립하여 시행하여야 한다.\n  ④ 사업부서에서 제3항에 따른 계획 수립시 총괄부서 및 예산부서와 사전협의를 거쳐야 하며,\n  협의 없이 정원을 증원 또는 감원하여서는 아니 된다.\n  ⑤ 운영부서에서는 제1항 및 제3항에 따라 교육공무직원의 인사·노무 등을 관리하여야 한다.\n□ 추진목적\n◦ 인사관리의 공정성을 확보하고 신뢰받는 인사행정 구현\n◦ 체계적인 인력관리 및 인력 운영 합리성 제고\n□ 관련근거\n◦ 세종특별자치시교육감 소속 교육공무직원의 채용 및 관리 조례\n◦ 세종특별자치시교육감 소속 교육공무직원의 채용 및 관리 조례 시행규칙\n◦ 세종특별자치시교육감 소속 교육공무직원 전보관리 규정\n◦ 세종특별자치시교육감 소속 교육공무직원 정원 관리 규정\n◦ 세종특별자치시교육감 소속 교육공무직원 공정채용 지침\n                         - 1 -
2026년도 교육공무직원 등 종합관리계획	2	Ⅰ. 개요	◦ 세종특별자치시교육청 교육공무직원 취업규칙\n◦ 세종특별자치시교육청 특수운영직군 종사자 취업규칙\n◦ 세종특별자치시교육청ㅡ전국학교비정규직노동조합 단체협약 이하 단체협약                 (       “   ”)\n\n\n◦ 세종특별자치시교육청ㅡ전국학교비정규직노동조합 임금협약 이하 임금협약                 (       “   ”)\n\n\n□ 대상\n◦ 적용대상 교육공무직원 및 특수운영직군 종사자\n           :\n\n\n◦ 적용제외\n  -   근로자가 아닌 자(자원봉사자, 프로그램 위 수탁운영자 등) ․\n  -   교육감 소속이 아닌 근로자(파견, BTL 소속 근로자 등)\n  -   적용받는 법령이 다른 자(기간제교사, 강사 등)\n  -   부서에서 비정규직 사전심사제 등을 통하여 채용한 교육공무직원,\n      특수운영직군 종사자가 아닌 일시 간헐적 기간제근로자 ․\n      ※ 단, 비정규직사전심사제는 [1-9] 참고, 채용 절차는 [2-2] 참고\n□ 용어 설명\n◦ 교육공무직원 세종특별자치시교육감 소속 근로계약을 체결한\n                   :\n\n\n  ｢세종특별자치시교육감 소속 교육공무직원의 채용 및 관리 조례\n  시행규칙｣ 별표 에 명시되어 있는 직종1\n\n\n◦ 특수운영직군 세종특별자치시교육감 소속 근로계약을 체결한 당직원\n               :                                                    ,\n\n\n  시설관리원, 환경실무사, 기숙사 사감, 주간 경비원\n◦ 총괄부서 세종특별자치시교육청의 소관부서 노사정책과\n           :                               (       )\n\n\n◦ 사업부서 해당 부서의 사업과 관련된 교육공무직원의 정원 배치기준 업무분장\n           :                                   ,           ,        ,\n\n\n  임금지급 등에 관한 구체적인 운영 계획을 수립하고 시행하는 본청의 소관부서\n◦ 운영부서 교육공무직원의 업무와 복무를 지휘하고 관리하는\n           :\n\n\n  본청 담당부서, 직속기관, 공립학교\n\n\n                           - 2 -
2026년도 교육공무직원 등 종합관리계획	3	Ⅱ 세부운영계획	Ⅱ        세부운영계획\n\n□\n1 인사관리\n\n\n1-1. 정원관리\n\n (원칙) 정원에 반영되지 않은 교육공무직원을 채용할 수 없음\n\n\n◦ 목적\n    -   교육공무직원 및 특수운영직군 종사자의 효율적인 인력 운영을\n        위한 정원 책정 및 관리\n\n◦ 근거\n  「세종특별자치시교육감 소속 교육공무직원 채용 및 관리 조례」제 조\n    -                                                          9\n\n\n  「세종특별자치시교육감 소속 교육공무직원 채용 및 관리 조례 시행규칙」제 조\n    -                                                                  3\n\n\n  「세종특별자치시교육감 소속 교육공무직원 정원 관리 규정」\n    -\n\n\n  「세종특별자치시교육청 특수운영직군 종사자 취업규칙」제 조\n    -                                                    17\n\n\n◦ 정원관리 직종 ｢세종특별자치시교육감 소속 교육공무직원 채용 및 관리 조례 시행규칙｣ 별표\n                    (                                              [   1])\n\n\n    순         직 종         사업부서           순        직 종         사업부서\n    1       교무실무사                        20    초등돌봄전담사\n    2       학습상담사        학교정책과           21     교육복지사\n    3    발명교육센터수업보조                      22      영양사\n                                                          교육복지과\n             전문상담사          학교정책과\n    4                                    23      조리사\n         (임상심리사, 사회복지사 포함) 유초등교육과\n    5     특수교육실무사                        24      조리실무사\n    6        사서                          25       간호사       학교안전과\n    7    특수학교돌봄전담사                       26   사무행정실무원(월급제)\n                        유초등교육과                              노사정책과\n    8     도서시스템운영원                       27   사무행정실무원(호봉제)\n    9      언어재활사                         28    자료실운영지원사 평생교육학습관\n    10   수학여행코디네이터                       29     수상안전요원\n                        유초등교육과                             학교지원본부\n    11     취업지원실무사                       30    수영장회원관리원\n                         중등교육과\n\n\n                                 - 3 -
2026년도 교육공무직원 등 종합관리계획	4	1-1. 정원관리	순               직 종        사업부서           순         직 종          사업부서\n 12        국제교육코디네이터\n                                           31     수영장운영관리원       학교지원본부\n 13         학교운동부지도자    중등교육과\n 14       독도전시관 운영실무사                      32   환경실무사(특수운영직군)     학교안전과\n 15         학부모지원컨설턴트   교원인사과              33    당직원(특수운영직군)      운영지원과\n 16         통학차량안전요원                       34   시설관리원(특수운영직군)    학교지원본부\n                        재무행정과\n 17       특수학교차량안전요원                       35   기숙사 사감(특수운영직군)    중등교육과\n 18       방과후학교운영실무원                       36   주간경비원(특수운영직군)     운영지원과\n                        교육복지과\n 19       교육복지프로젝트조정자\n\n◦ 일반원칙\n -    교육공무직원은 정원에 반영되지 않은 경우 채용이 불가능함\n      (   대체인력도 채용 불가능)\n\n -   사업부서에서 정원을 요청할 때에는 사업계획, 업무량, 근로조건,\n     재원확보 등을 종합적으로 검토해야 함\n\n -   직종 신설 및 폐지, 정원기준 변경, 정원 인원 조정 등이 필요할\n     경우 인력관리심의위원회 심의를 받아 조정해야 함\n\n -           ·\n     한시적 기간제 인력 채용 시 기간과 인원을 정하여 인력관리위원회에\n     비정규직 사전심사를 승인 받아야 함                         (세부내역 [1-9] 참고)\n◦ 정원 책정 조정 절차    ·\n\n          사업부서 요청       ▶      총괄부서 심의               ▶         정원 반영\n\n ‣ 직종 신설 및 폐지               ‣ 인력관리심의위원회 심의               ‣ 심의결과에 따라 정원,\n ‣ 정원기준 변경                  ‣ 인력운용의 필요성,                   직종, 기준, 인원 반영\n\n ‣ 정원 인원 조정                   타당성, 적정성 등을                ‣ 관련 규정 개정\n                              검토하여 반영 여부 심의\n\n     ※ 사업부서, 총괄부서의 기능은 채용 시행규칙 제3조에 따름\n▸ 교육공무직원 인력관리심의위원회\n     - (목     적) 교육공무직원의 정원 책정과 관리를 하기 위함\n     - (설치근거) 「세종특별자치시교육감 소속 교육공무직원 정원 관리 규정」 제3조\n     - (구  성) 위원장 포함 9명의 당연직 위원으로 구성\n     - (심의사항) 정원 관리, 각종 신설 및 변경·통합, 그 밖에 교육감이 심의·요구하는 사항\n\n\n                                   - 4 -
2026년도 교육공무직원 등 종합관리계획	5	1-2. 전보	1-2. 전보\n\n◦ 목적\n -   인력의 효율적 운영 및 순환 전보를 위한 정기전보 운영\n◦ 근거\n -「세종특별자치시교육감 소속 교육공무직원 채용 및 관리 조례」제 조                  8\n\n\n -「세종특별자치시교육감 소속 교육공무직원 채용 및 관리 조례 시행규칙」제 조                 9\n\n\n -「세종특별자치시교육감 소속 교육공무직원 전보관리 규정」\n -「세종특별자치시교육청 특수운영직군 종사자 취업규칙」제 조                  20\n\n\n◦ 전보대상 및 전보시기\n                          대 상                           시 기\n 교육공무직원(무기계약근로자) 중\n  ① 같은 기관(부서)에서 5년 이상 계속 근무한 근로자                         매년\n  ② 1년 이상 근무한 근로자 중 전보 희망자                              3월, 9월\n  ※ 시설관리원(특수운영직군)의 경우 과원 및 희망자에 한해 전보내신서 제출 가능\n\n\n -   전보제외 대상자: 운영부서장 채용권한 위임 직종\n ▸ 「세종특별자치시교육감 소속 교육공무직원 채용 및 관리 조례 시행규칙」 [별표2] 운영\n   부서에서 채용하는 교육공무직원의 직종\n ▸ 특수운영직군 종사자 중 환경실무사, 당직원, 기숙사 사감, 주간경비원\n ※ 단, 기관 운영에 따른 과원, 결원 등이 발생한 경우 사업부서와 협의 후 전보 가능\n\n\n◦ 전보방법\n -   전보점수제에 따라 근로자 근무희망지를 고려하여 전보\n ▸ 전보점수제 시행\n     - (목적) 교육공무직원 인사운영의 공정성 및 신뢰성 확보를 위한 전보기준 마련\n     - (대상) 「세종특별자치시교육감 소속 교육공무직원 채용 및 관리 조례 시행규칙」\n           [별표1] 31개 직종 중 전보가능기관이 2개 이상인 12개 직종*\n     - (내용) 경력, 우대, 직종특성으로 구분하여 산정, 일부 직종은 직종특성 미반영,\n           기피근무기관 해소를 위한 직종특성 가점 반영\n     * 교무실무사, 사서, 영양사, 사무행정실무원(월급제, 호봉제), 초등돌봄전담사, 간호사, 조리사,\n       조리실무사, 특수교육실무사, 교육복지사, 전문상담사\n\n\n                             - 5 -
